MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,483,$32.19,"$15,547.77",-2332.17,-3429.30,-139.02,"$9,647.28"
TH-CASIRO-02,B0TH002KX,302,$44.99,"$13,586.98",-2038.05,-2144.20,-116.60,"$9,288.13"
TH-ENADUT-03,B0TH003KX,185,$83.99,"$15,538.15",-2330.72,-1313.50,-119.48,"$11,774.45"
TH-CARSTE-04,B0TH004KX,160,$53.99,"$8,638.40",-1295.76,-1136.00,-69.64,"$6,137.00"
TH-BAMCUT-05,B0TH005KX,655,$25.75,"$16,866.25",-2529.94,-2849.25,-128.75,"$11,358.31"
TH-BAMCUT-06,B0TH006KX,567,$21.19,"$12,014.73",-1802.21,-2466.45,-71.65,"$7,674.42"
TH-WALSER-07,B0TH007KX,111,$41.33,"$4,587.63",-688.14,-482.85,-23.38,"$3,393.26"
TH-CHEKNI-08,B0TH008KX,282,$59.99,"$16,917.18",-2537.58,-1226.70,-17.82,"$13,135.08"
TH-PARKNI-09,B0TH009KX,597,$18.23,"$10,883.31",-1632.50,-2596.95,-16.76,"$6,637.10"
TH-BREKNI-10,B0TH010KX,193,$28.79,"$5,556.47",-833.47,-839.55,-9.48,"$3,873.97"
TH-KNISHA-11,B0TH011KX,330,$24.99,"$8,246.70",-1237.01,-1435.50,-13.90,"$5,560.29"
TH-STAMIX-12,B0TH012KX,228,$39.95,"$9,108.60",-1366.29,-1618.80,-112.04,"$6,011.47"
TH-SILSPA-13,B0TH013KX,549,$15.89,"$8,723.61",-1308.54,-2388.15,-19.27,"$5,007.65"
TH-MEACUP-14,B0TH014KX,322,$23.75,"$7,647.50",-1147.12,-1400.70,-18.08,"$5,081.60"
TH-SALCEL-15,B0TH015KX,271,$17.50,"$4,742.50",-711.38,-1178.85,-9.51,"$2,842.76"
TH-PEPMIL-16,B0TH016KX,164,$34.64,"$5,680.96",-852.14,-713.40,-6.91,"$4,108.51"
TH-FREPRE-17,B0TH017KX,204,$31.19,"$6,362.76",-954.41,-887.40,-31.51,"$4,489.44"
TH-POUOVE-18,B0TH018KX,148,$41.27,"$6,107.96",-916.19,-643.80,-24.94,"$4,523.03"
TH-COFCAN-19,B0TH019KX,243,$24.37,"$5,921.91",-888.29,-1057.05,-17.06,"$3,959.51"
TH-TEAINF-20,B0TH020KX,225,$19.79,"$4,452.75",-667.91,-978.75,-12.64,"$2,793.45"
TH-APRWAX-21,B0TH021KX,177,$41.59,"$7,361.43",-1104.21,-769.95,-8.70,"$5,478.57"
TH-OVEMIT-22,B0TH022KX,503,$18.99,"$9,551.97",-1432.80,-2188.05,-21.19,"$5,909.93"
TH-TRICOR-23,B0TH023KX,501,$12.47,"$6,247.47",-937.12,-2179.35,-14.07,"$3,116.93"
TH-KITTOW-24,B0TH024KX,264,$25.99,"$6,861.36",-1029.20,-1148.40,-9.27,"$4,674.49"
