MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,684,$34.99,"$23,933.16",-3589.97,-4856.40,-196.87,"$15,289.92"
TH-CASIRO-02,B0TH002KX,330,$44.99,"$14,846.70",-2227.01,-2343.00,-127.41,"$10,149.28"
TH-ENADUT-03,B0TH003KX,222,$79.99,"$17,757.78",-2663.67,-1576.20,-143.38,"$13,374.53"
TH-CARSTE-04,B0TH004KX,329,$49.99,"$16,446.71",-2467.01,-2335.90,-143.19,"$11,500.61"
TH-BAMCUT-05,B0TH005KX,459,$25.75,"$11,819.25",-1772.89,-1996.65,-90.22,"$7,959.49"
TH-BAMCUT-06,B0TH006KX,542,$21.19,"$11,484.98",-1722.75,-2357.70,-68.49,"$7,336.04"
TH-WALSER-07,B0TH007KX,166,$41.33,"$6,860.78",-1029.12,-722.10,-34.96,"$5,074.60"
TH-CHEKNI-08,B0TH008KX,494,$59.99,"$29,635.06",-4445.26,-2148.90,-31.21,"$23,009.69"
TH-PARKNI-09,B0TH009KX,501,$18.23,"$9,133.23",-1369.98,-2179.35,-14.07,"$5,569.83"
TH-BREKNI-10,B0TH010KX,250,$31.49,"$7,872.50",-1180.88,-1087.50,-12.29,"$5,591.83"
TH-KNISHA-11,B0TH011KX,288,$24.99,"$7,197.12",-1079.57,-1252.80,-12.13,"$4,852.62"
TH-STAMIX-12,B0TH012KX,259,$36.99,"$9,580.41",-1437.06,-1838.90,-127.27,"$6,177.18"
TH-SILSPA-13,B0TH013KX,728,$15.89,"$11,567.92",-1735.19,-3166.80,-25.55,"$6,640.38"
TH-MEACUP-14,B0TH014KX,409,$21.99,"$8,993.91",-1349.09,-1779.15,-22.97,"$5,842.70"
TH-SALCEL-15,B0TH015KX,274,$17.67,"$4,841.58",-726.24,-1191.90,-9.62,"$2,913.82"
TH-PEPMIL-16,B0TH016KX,209,$32.99,"$6,894.91",-1034.24,-909.15,-8.80,"$4,942.72"
TH-FREPRE-17,B0TH017KX,281,$31.49,"$8,848.69",-1327.30,-1222.35,-43.40,"$6,255.64"
TH-POUOVE-18,B0TH018KX,159,$46.43,"$7,382.37",-1107.36,-691.65,-26.79,"$5,556.57"
TH-COFCAN-19,B0TH019KX,341,$24.37,"$8,310.17",-1246.53,-1483.35,-23.94,"$5,556.35"
TH-TEAINF-20,B0TH020KX,309,$19.79,"$6,115.11",-917.27,-1344.15,-17.35,"$3,836.34"
TH-APRWAX-21,B0TH021KX,150,$43.99,"$6,598.50",-989.78,-652.50,-7.37,"$4,948.85"
TH-OVEMIT-22,B0TH022KX,559,$18.99,"$10,615.41",-1592.31,-2431.65,-23.55,"$6,567.90"
TH-TRICOR-23,B0TH023KX,481,$14.03,"$6,748.43",-1012.26,-2092.35,-13.51,"$3,630.31"
TH-KITTOW-24,B0TH024KX,270,$25.99,"$7,017.30",-1052.60,-1174.50,-9.48,"$4,780.72"
