(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"5,940","9,504",95.1%,659,"US$21,213.21",633,11.09%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"4,713","7,541",97.6%,402,"US$18,085.98",386,8.53%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"2,435","3,896",92.3%,243,"US$18,659.97",233,9.98%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"2,051","3,282",89.3%,235,"US$12,217.65",226,11.46%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"4,508","7,213",96.9%,539,"US$13,879.25",517,11.96%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"5,238","8,381",89.2%,633,"US$13,413.27",608,12.09%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"1,955","3,128",96.2%,220,"US$8,320.40",211,11.25%
B0TH002PR,B0TH008KX,Chef Knife 8in,"5,578","8,925",90.8%,432,"US$27,211.68",415,7.74%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"4,195","6,712",94.8%,556,"US$10,241.52",534,13.25%
B0TH003PR,B0TH010KX,Bread Knife 10in,"1,891","3,026",99.0%,233,"US$6,708.07",224,12.32%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"2,042","3,267",96.0%,254,"US$6,347.46",244,12.44%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"1,572","2,515",93.4%,266,"US$10,626.70",255,16.92%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"8,077","12,923",95.3%,800,"US$12,712.00",768,9.90%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"2,925","4,680",92.4%,362,"US$8,438.22",348,12.38%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"3,582","5,731",99.0%,338,"US$5,915.00",324,9.44%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"2,156","3,450",91.8%,262,"US$9,075.68",252,12.15%
B0TH005PR,B0TH017KX,French Press 34oz,"2,370","3,792",93.7%,316,"US$9,856.04",303,13.33%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"2,092","3,347",95.7%,230,"US$9,492.10",221,10.99%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"3,410","5,456",95.1%,304,"US$7,408.48",292,8.92%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"2,192","3,507",95.4%,336,"US$5,802.72",323,15.33%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"1,740","2,784",92.5%,187,"US$7,777.33",180,10.75%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"4,026","6,442",93.2%,430,"US$8,165.70",413,10.68%
B0TH006PR,B0TH023KX,Trivet Cork Set,"5,156","8,250",96.7%,554,"US$6,908.38",532,10.74%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"3,734","5,974",96.6%,300,"US$7,797.00",288,8.03%
