(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"3,937","6,299",94.4%,610,"US$21,984.40",586,15.50%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"3,996","6,394",95.6%,465,"US$21,548.10",446,11.64%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"1,768","2,829",88.0%,235,"US$18,233.65",226,13.29%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"3,024","4,838",94.6%,246,"US$12,666.54",236,8.14%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"5,710","9,136",97.9%,575,"US$15,611.25",552,10.07%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"8,004","12,806",88.2%,870,"US$16,869.30",835,10.87%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"2,532","4,051",85.8%,227,"US$8,585.14",218,8.96%
B0TH002PR,B0TH008KX,Chef Knife 8in,"3,499","5,598",93.4%,386,"US$22,461.34",371,11.03%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"5,727","9,163",97.2%,610,"US$11,236.20",586,10.65%
B0TH003PR,B0TH010KX,Bread Knife 10in,"1,979","3,166",93.5%,275,"US$7,999.75",264,13.90%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"5,601","8,962",95.9%,405,"US$10,120.95",389,7.23%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"2,078","3,325",94.9%,262,"US$9,982.20",252,12.61%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"6,425","10,280",90.5%,865,"US$13,355.60",830,13.46%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"2,494","3,990",91.1%,387,"US$8,254.71",372,15.52%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"2,939","4,702",88.9%,382,"US$6,685.00",367,13.00%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"2,054","3,286",98.5%,198,"US$6,728.04",190,9.64%
B0TH005PR,B0TH017KX,French Press 34oz,"3,999","6,398",96.5%,439,"US$13,560.71",421,10.98%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"2,021","3,234",93.7%,242,"US$10,715.76",232,11.97%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"2,797","4,475",93.3%,398,"US$9,150.02",382,14.23%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"4,497","7,195",91.6%,357,"US$6,615.21",343,7.94%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"1,389","2,222",95.2%,175,"US$7,208.25",168,12.60%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"4,602","7,363",91.8%,385,"US$7,696.15",370,8.37%
B0TH006PR,B0TH023KX,Trivet Cork Set,"5,485","8,776",92.9%,567,"US$7,144.20",544,10.34%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"3,967","6,347",92.1%,347,"US$8,671.53",333,8.75%
