(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"5,191","8,306",91.8%,697,"US$25,851.73",669,13.43%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"5,249","8,398",95.4%,514,"US$22,199.66",493,9.79%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"2,048","3,277",94.1%,276,"US$21,194.04",265,13.48%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"4,077","6,523",89.9%,364,"US$18,742.36",349,8.93%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"8,397","13,435",88.7%,726,"US$19,710.90",697,8.65%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"6,110","9,776",97.4%,716,"US$15,172.04",687,11.72%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"1,639","2,622",87.2%,188,"US$7,110.16",180,11.47%
B0TH002PR,B0TH008KX,Chef Knife 8in,"5,324","8,518",93.5%,592,"US$34,448.48",568,11.12%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"4,149","6,638",89.6%,651,"US$11,991.42",625,15.69%
B0TH003PR,B0TH010KX,Bread Knife 10in,"2,929","4,686",99.0%,314,"US$9,040.06",301,10.72%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"3,121","4,994",95.7%,387,"US$9,671.13",372,12.40%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"2,890","4,624",95.0%,339,"US$12,915.90",325,11.73%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"6,733","10,773",91.6%,879,"US$13,571.76",844,13.06%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"3,312","5,299",89.9%,439,"US$9,363.87",421,13.26%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"2,904","4,646",94.5%,353,"US$6,177.50",339,12.16%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"2,688","4,301",93.9%,276,"US$9,378.48",265,10.27%
B0TH005PR,B0TH017KX,French Press 34oz,"3,842","6,147",90.8%,394,"US$12,170.66",378,10.25%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"2,372","3,795",90.7%,256,"US$11,335.68",246,10.79%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"4,397","7,035",90.5%,534,"US$12,276.66",513,12.15%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"2,886","4,618",90.5%,373,"US$6,911.69",358,12.92%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"1,746","2,794",92.1%,181,"US$7,455.39",174,10.37%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"4,311","6,898",95.0%,610,"US$11,705.90",586,14.15%
B0TH006PR,B0TH023KX,Trivet Cork Set,"7,376","11,802",95.5%,817,"US$10,294.20",784,11.08%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"5,326","8,522",93.9%,388,"US$10,084.12",372,7.29%
