(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"6,091","9,746",93.2%,678,"US$23,723.22",651,11.13%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"3,131","5,010",93.7%,471,"US$21,190.29",452,15.04%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"2,570","4,112",87.7%,283,"US$22,637.17",272,11.01%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"4,737","7,579",93.2%,460,"US$22,995.40",442,9.71%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"7,494","11,990",98.1%,759,"US$19,544.25",729,10.13%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"8,684","13,894",97.9%,970,"US$17,838.30",931,11.17%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"1,721","2,754",94.1%,200,"US$7,798.00",192,11.62%
B0TH002PR,B0TH008KX,Chef Knife 8in,"5,979","9,566",94.0%,677,"US$40,613.23",650,11.32%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"4,954","7,926",87.0%,740,"US$14,755.60",710,14.94%
B0TH003PR,B0TH010KX,Bread Knife 10in,"4,922","7,875",92.4%,369,"US$11,066.31",354,7.50%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"3,487","5,579",96.1%,402,"US$10,045.98",386,11.53%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"2,378","3,805",92.8%,296,"US$10,949.04",284,12.45%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"7,150","11,440",97.1%,968,"US$13,784.32",929,13.54%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"4,162","6,659",96.9%,494,"US$10,863.06",474,11.87%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"3,254","5,206",92.3%,392,"US$6,993.28",376,12.05%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"2,892","4,627",94.3%,373,"US$12,305.27",358,12.90%
B0TH005PR,B0TH017KX,French Press 34oz,"3,078","4,925",98.4%,354,"US$11,147.46",340,11.50%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"4,865","7,784",89.7%,321,"US$13,799.79",308,6.60%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"4,569","7,310",92.9%,417,"US$10,545.93",400,9.13%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"5,732","9,171",89.5%,630,"US$11,333.70",605,10.99%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"2,896","4,634",91.4%,276,"US$11,037.24",265,9.53%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"3,783","6,053",99.0%,621,"US$11,792.79",596,16.41%
B0TH006PR,B0TH023KX,Trivet Cork Set,"5,770","9,232",92.9%,616,"US$8,001.84",591,10.68%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"4,543","7,269",88.3%,418,"US$10,445.82",401,9.20%
