(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"4,021","6,434",97.1%,462,"US$16,165.38",444,11.49%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"2,321","3,714",94.6%,322,"US$14,486.78",309,13.88%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"2,238","3,581",95.5%,235,"US$18,797.65",226,10.50%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"2,106","3,370",94.0%,220,"US$10,997.80",211,10.44%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"2,858","4,573",92.3%,385,"US$10,776.15",370,13.47%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"3,081","4,930",96.0%,404,"US$8,075.96",388,13.11%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"1,679","2,686",96.9%,161,"US$6,277.39",155,9.59%
B0TH002PR,B0TH008KX,Chef Knife 8in,"2,574","4,118",94.3%,332,"US$19,916.68",319,12.90%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"4,672","7,475",91.4%,466,"US$8,849.34",447,9.98%
B0TH003PR,B0TH010KX,Bread Knife 10in,"2,437","3,899",95.6%,254,"US$7,617.46",244,10.42%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"2,712","4,339",95.3%,260,"US$6,497.40",250,9.59%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"2,917","4,667",93.4%,263,"US$9,728.37",252,9.02%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"5,768","9,229",99.0%,676,"US$10,133.24",649,11.72%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"2,962","4,739",98.4%,259,"US$5,695.41",249,8.75%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"2,585","4,136",95.2%,305,"US$5,181.95",293,11.80%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"1,704","2,726",95.3%,200,"US$6,598.00",192,11.74%
B0TH005PR,B0TH017KX,French Press 34oz,"2,055","3,288",98.4%,230,"US$6,897.70",221,11.19%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"2,012","3,219",97.4%,213,"US$9,156.87",204,10.59%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"3,858","6,173",93.8%,394,"US$9,058.06",378,10.21%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"3,891","6,226",95.4%,364,"US$6,548.36",349,9.36%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"1,077","1,723",93.8%,155,"US$6,198.45",149,14.39%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"4,340","6,944",90.7%,482,"US$9,635.18",463,11.11%
B0TH006PR,B0TH023KX,Trivet Cork Set,"4,121","6,594",89.2%,455,"US$5,910.45",437,11.04%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"3,421","5,474",94.7%,331,"US$8,271.69",318,9.67%
