MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,742,$34.99,"$25,962.58",-3894.39,-5268.20,-657.12,"$16,142.87"
TH-CASIRO-02,B0TH002KX,634,$44.99,"$28,523.66",-4278.55,-4501.40,-753.19,"$18,990.52"
TH-ENADUT-03,B0TH003KX,384,$79.99,"$30,716.16",-4607.42,-2726.40,-763.08,"$22,619.26"
TH-CARSTE-04,B0TH004KX,340,$49.99,"$16,996.60",-2549.49,-2414.00,-455.33,"$11,577.78"
TH-BAMCUT-05,B0TH005KX,842,$25.75,"$21,681.50",-3252.22,-3662.70,-509.24,"$14,257.34"
TH-BAMCUT-06,B0TH006KX,1200,$18.39,"$22,068.00",-3310.20,-5220.00,-466.56,"$13,071.24"
TH-WALSER-07,B0TH007KX,169,$42.11,"$7,116.59",-1067.49,-735.15,-109.51,"$5,204.44"
TH-CHEKNI-08,B0TH008KX,716,$59.99,"$42,952.84",-6442.93,-3114.60,-139.19,"$33,256.12"
TH-PARKNI-09,B0TH009KX,859,$19.94,"$17,128.46",-2569.27,-3736.65,-74.22,"$10,748.32"
TH-BREKNI-10,B0TH010KX,356,$29.99,"$10,676.44",-1601.47,-1548.60,-53.83,"$7,472.54"
TH-KNISHA-11,B0TH011KX,564,$24.99,"$14,094.36",-2114.15,-2453.40,-73.09,"$9,453.72"
TH-STAMIX-12,B0TH012KX,486,$36.99,"$17,977.14",-2696.57,-3450.60,-734.83,"$11,095.14"
TH-SILSPA-13,B0TH013KX,865,$15.89,"$13,744.85",-2061.73,-3762.75,-93.42,"$7,826.95"
TH-MEACUP-14,B0TH014KX,601,$21.99,"$13,215.99",-1982.40,-2614.35,-103.85,"$8,515.39"
TH-SALCEL-15,B0TH015KX,405,$17.67,"$7,156.35",-1073.45,-1761.75,-43.74,"$4,277.41"
TH-PEPMIL-16,B0TH016KX,291,$32.99,"$9,600.09",-1440.01,-1265.85,-37.71,"$6,856.52"
TH-FREPRE-17,B0TH017KX,421,$31.49,"$13,257.29",-1988.59,-1831.35,-200.06,"$9,237.29"
TH-POUOVE-18,B0TH018KX,309,$46.43,"$14,346.87",-2152.03,-1344.15,-160.19,"$10,690.50"
TH-COFCAN-19,B0TH019KX,436,$24.37,"$10,625.32",-1593.80,-1896.60,-94.18,"$7,040.74"
TH-TEAINF-20,B0TH020KX,497,$19.79,"$9,835.63",-1475.34,-2161.95,-85.88,"$6,112.46"
TH-APRWAX-21,B0TH021KX,225,$39.99,"$8,997.75",-1349.66,-978.75,-34.02,"$6,635.32"
TH-OVEMIT-22,B0TH022KX,759,$18.99,"$14,413.41",-2162.01,-3301.65,-98.37,"$8,851.38"
TH-TRICOR-23,B0TH023KX,542,$14.03,"$7,604.26",-1140.64,-2357.70,-46.83,"$4,059.09"
TH-KITTOW-24,B0TH024KX,456,$26.24,"$11,965.44",-1794.82,-1983.60,-49.25,"$8,137.77"
