(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"6,586","10,538",91.0%,742,"US$25,962.58",712,11.27%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"5,596","8,954",89.2%,634,"US$28,523.66",609,11.33%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"3,849","6,158",94.4%,384,"US$30,716.16",369,9.98%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"2,779","4,446",95.3%,340,"US$16,996.60",326,12.23%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"9,504","15,206",96.6%,842,"US$21,681.50",808,8.86%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"12,122","19,395",95.9%,1200,"US$22,068.00",1152,9.90%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"1,472","2,355",89.9%,169,"US$7,116.59",162,11.48%
B0TH002PR,B0TH008KX,Chef Knife 8in,"6,588","10,541",95.1%,716,"US$42,952.84",687,10.87%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"6,750","10,800",93.6%,859,"US$17,128.46",825,12.73%
B0TH003PR,B0TH010KX,Bread Knife 10in,"2,444","3,910",97.0%,356,"US$10,676.44",342,14.56%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"5,133","8,213",96.3%,564,"US$14,094.36",541,10.99%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"3,163","5,061",99.0%,486,"US$17,977.14",467,15.37%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"9,564","15,302",91.2%,865,"US$13,744.85",830,9.04%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"4,153","6,645",90.8%,601,"US$13,215.99",577,14.47%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"4,574","7,318",92.5%,405,"US$7,156.35",389,8.85%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"2,358","3,773",93.7%,291,"US$9,600.09",279,12.34%
B0TH005PR,B0TH017KX,French Press 34oz,"4,128","6,605",92.0%,421,"US$13,257.29",404,10.20%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"3,067","4,907",91.4%,309,"US$14,346.87",297,10.08%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"2,714","4,342",94.9%,436,"US$10,625.32",419,16.06%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"3,744","5,990",92.5%,497,"US$9,835.63",477,13.27%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"2,022","3,235",91.9%,225,"US$8,997.75",216,11.13%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"12,249","19,598",89.9%,759,"US$14,413.41",729,6.20%
B0TH006PR,B0TH023KX,Trivet Cork Set,"6,879","11,006",87.3%,542,"US$7,604.26",520,7.88%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"5,006","8,010",98.0%,456,"US$11,965.44",438,9.11%
