MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,639,$36.04,"$23,029.56",-3454.43,-4536.90,-183.92,"$14,854.31"
TH-CASIRO-02,B0TH002KX,444,$46.34,"$20,574.96",-3086.24,-3152.40,-171.43,"$14,164.89"
TH-ENADUT-03,B0TH003KX,345,$77.59,"$26,768.55",-4015.28,-2449.50,-222.81,"$20,080.96"
TH-CARSTE-04,B0TH004KX,252,$51.49,"$12,975.48",-1946.32,-1789.20,-109.68,"$9,130.28"
TH-BAMCUT-05,B0TH005KX,586,$27.15,"$15,909.90",-2386.48,-2549.10,-115.18,"$10,859.14"
TH-BAMCUT-06,B0TH006KX,812,$19.39,"$15,744.68",-2361.70,-3532.20,-102.60,"$9,748.18"
TH-WALSER-07,B0TH007KX,216,$37.82,"$8,169.12",-1225.37,-939.60,-45.49,"$5,958.66"
TH-CHEKNI-08,B0TH008KX,578,$58.19,"$33,633.82",-5045.07,-2514.30,-36.52,"$26,037.93"
TH-PARKNI-09,B0TH009KX,777,$18.42,"$14,312.34",-2146.85,-3379.95,-21.82,"$8,763.72"
TH-BREKNI-10,B0TH010KX,367,$29.09,"$10,676.03",-1601.40,-1596.45,-18.03,"$7,460.15"
TH-KNISHA-11,B0TH011KX,348,$24.99,"$8,696.52",-1304.48,-1513.80,-14.66,"$5,863.58"
TH-STAMIX-12,B0TH012KX,295,$38.10,"$11,239.50",-1685.92,-2094.50,-144.96,"$7,314.12"
TH-SILSPA-13,B0TH013KX,858,$15.44,"$13,247.52",-1987.13,-3732.30,-30.12,"$7,497.97"
TH-MEACUP-14,B0TH014KX,528,$21.33,"$11,262.24",-1689.34,-2296.80,-29.65,"$7,246.45"
TH-SALCEL-15,B0TH015KX,347,$17.50,"$6,072.50",-910.88,-1509.45,-12.18,"$3,639.99"
TH-PEPMIL-16,B0TH016KX,224,$33.98,"$7,611.52",-1141.73,-974.40,-9.43,"$5,485.96"
TH-FREPRE-17,B0TH017KX,459,$30.89,"$14,178.51",-2126.78,-1996.65,-70.89,"$9,984.19"
TH-POUOVE-18,B0TH018KX,211,$44.28,"$9,343.08",-1401.46,-917.85,-35.55,"$6,988.22"
TH-COFCAN-19,B0TH019KX,557,$22.99,"$12,805.43",-1920.81,-2422.95,-39.10,"$8,422.57"
TH-TEAINF-20,B0TH020KX,382,$18.53,"$7,078.46",-1061.77,-1661.70,-21.45,"$4,333.54"
TH-APRWAX-21,B0TH021KX,208,$41.19,"$8,567.52",-1285.13,-904.80,-10.22,"$6,367.37"
TH-OVEMIT-22,B0TH022KX,429,$19.99,"$8,575.71",-1286.36,-1866.15,-18.07,"$5,405.13"
TH-TRICOR-23,B0TH023KX,747,$12.60,"$9,412.20",-1411.83,-3249.45,-20.98,"$4,729.94"
TH-KITTOW-24,B0TH024KX,350,$24.99,"$8,746.50",-1311.98,-1522.50,-12.29,"$5,899.73"
