(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"6,363","10,181",96.3%,639,"US$23,029.56",613,10.04%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"3,385","5,416",93.6%,444,"US$20,574.96",426,13.12%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"3,220","5,152",94.4%,345,"US$26,768.55",331,10.72%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"2,554","4,086",90.6%,252,"US$12,975.48",242,9.87%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"6,092","9,747",92.1%,586,"US$15,909.90",563,9.62%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"8,852","14,163",94.5%,812,"US$15,744.68",780,9.17%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"1,667","2,667",89.2%,216,"US$8,169.12",207,12.96%
B0TH002PR,B0TH008KX,Chef Knife 8in,"5,004","8,006",93.3%,578,"US$33,633.82",555,11.55%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"6,378","10,205",94.0%,777,"US$14,312.34",746,12.18%
B0TH003PR,B0TH010KX,Bread Knife 10in,"4,271","6,834",90.2%,367,"US$10,676.03",352,8.59%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"3,011","4,818",97.1%,348,"US$8,696.52",334,11.56%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"4,172","6,675",95.0%,295,"US$11,239.50",283,7.07%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"6,182","9,891",93.5%,858,"US$13,247.52",824,13.88%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"4,190","6,704",91.9%,528,"US$11,262.24",507,12.60%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"3,081","4,930",89.1%,347,"US$6,072.50",333,11.26%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"3,289","5,262",96.8%,224,"US$7,611.52",215,6.81%
B0TH005PR,B0TH017KX,French Press 34oz,"4,816","7,706",92.6%,459,"US$14,178.51",441,9.53%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"2,418","3,869",89.8%,211,"US$9,343.08",203,8.73%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"4,994","7,990",91.8%,557,"US$12,805.43",535,11.15%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"3,117","4,987",95.4%,382,"US$7,078.46",367,12.26%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"1,713","2,741",94.7%,208,"US$8,567.52",200,12.14%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"2,927","4,683",90.8%,429,"US$8,575.71",412,14.66%
B0TH006PR,B0TH023KX,Trivet Cork Set,"6,558","10,493",97.4%,747,"US$9,412.20",717,11.39%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"2,495","3,992",89.7%,350,"US$8,746.50",336,14.03%
