MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,424,$34.99,"$14,835.76",-2225.36,-3010.40,-375.49,"$9,224.51"
TH-CASIRO-02,B0TH002KX,288,$44.99,"$12,957.12",-1943.57,-2044.80,-342.14,"$8,626.61"
TH-ENADUT-03,B0TH003KX,292,$79.99,"$23,357.08",-3503.56,-2073.20,-580.26,"$17,200.06"
TH-CARSTE-04,B0TH004KX,259,$49.99,"$12,947.41",-1942.11,-1838.90,-346.85,"$8,819.55"
TH-BAMCUT-05,B0TH005KX,430,$27.99,"$12,035.70",-1805.36,-1870.50,-260.06,"$8,099.78"
TH-BAMCUT-06,B0TH006KX,614,$19.99,"$12,273.86",-1841.08,-2670.90,-238.72,"$7,523.16"
TH-WALSER-07,B0TH007KX,123,$38.99,"$4,795.77",-719.37,-535.05,-79.70,"$3,461.65"
TH-CHEKNI-08,B0TH008KX,435,$59.99,"$26,095.65",-3914.35,-1892.25,-84.56,"$20,204.49"
TH-PARKNI-09,B0TH009KX,467,$18.99,"$8,868.33",-1330.25,-2031.45,-40.35,"$5,466.28"
TH-BREKNI-10,B0TH010KX,254,$29.99,"$7,617.46",-1142.62,-1104.90,-38.40,"$5,331.54"
TH-KNISHA-11,B0TH011KX,378,$24.99,"$9,446.22",-1416.93,-1644.30,-48.99,"$6,336.00"
TH-STAMIX-12,B0TH012KX,280,$36.99,"$10,357.20",-1553.58,-1988.00,-423.36,"$6,392.26"
TH-SILSPA-13,B0TH013KX,847,$14.99,"$12,696.53",-1904.48,-3684.45,-91.48,"$7,016.12"
TH-MEACUP-14,B0TH014KX,431,$21.99,"$9,477.69",-1421.65,-1874.85,-74.48,"$6,106.71"
TH-SALCEL-15,B0TH015KX,290,$16.99,"$4,927.10",-739.07,-1261.50,-31.32,"$2,895.21"
TH-PEPMIL-16,B0TH016KX,214,$32.99,"$7,059.86",-1058.98,-930.90,-27.73,"$5,042.25"
TH-FREPRE-17,B0TH017KX,392,$29.99,"$11,756.08",-1763.41,-1705.20,-186.28,"$8,101.19"
TH-POUOVE-18,B0TH018KX,234,$42.99,"$10,059.66",-1508.95,-1017.90,-121.31,"$7,411.50"
TH-COFCAN-19,B0TH019KX,316,$22.99,"$7,264.84",-1089.73,-1374.60,-68.26,"$4,732.25"
TH-TEAINF-20,B0TH020KX,320,$17.99,"$5,756.80",-863.52,-1392.00,-55.30,"$3,445.98"
TH-APRWAX-21,B0TH021KX,156,$39.99,"$6,238.44",-935.77,-678.60,-23.59,"$4,600.48"
TH-OVEMIT-22,B0TH022KX,386,$19.99,"$7,716.14",-1157.42,-1679.10,-50.03,"$4,829.59"
TH-TRICOR-23,B0TH023KX,533,$12.99,"$6,923.67",-1038.55,-2318.55,-46.05,"$3,520.52"
TH-KITTOW-24,B0TH024KX,339,$24.99,"$8,471.61",-1270.74,-1474.65,-36.61,"$5,689.61"
