MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,610,$36.04,"$21,984.40",-3297.66,-4331.00,-175.57,"$14,180.17"
TH-CASIRO-02,B0TH002KX,465,$46.34,"$21,548.10",-3232.21,-3301.50,-179.54,"$14,834.85"
TH-ENADUT-03,B0TH003KX,235,$77.59,"$18,233.65",-2735.05,-1668.50,-151.77,"$13,678.33"
TH-CARSTE-04,B0TH004KX,246,$51.49,"$12,666.54",-1899.98,-1746.60,-107.07,"$8,912.89"
TH-BAMCUT-05,B0TH005KX,575,$27.15,"$15,611.25",-2341.69,-2501.25,-113.02,"$10,655.29"
TH-BAMCUT-06,B0TH006KX,870,$19.39,"$16,869.30",-2530.40,-3784.50,-109.93,"$10,444.47"
TH-WALSER-07,B0TH007KX,227,$37.82,"$8,585.14",-1287.77,-987.45,-47.81,"$6,262.11"
TH-CHEKNI-08,B0TH008KX,386,$58.19,"$22,461.34",-3369.20,-1679.10,-24.39,"$17,388.65"
TH-PARKNI-09,B0TH009KX,610,$18.42,"$11,236.20",-1685.43,-2653.50,-17.13,"$6,880.14"
TH-BREKNI-10,B0TH010KX,275,$29.09,"$7,999.75",-1199.96,-1196.25,-13.51,"$5,590.03"
TH-KNISHA-11,B0TH011KX,405,$24.99,"$10,120.95",-1518.14,-1761.75,-17.06,"$6,824.00"
TH-STAMIX-12,B0TH012KX,262,$38.10,"$9,982.20",-1497.33,-1860.20,-128.75,"$6,495.92"
TH-SILSPA-13,B0TH013KX,865,$15.44,"$13,355.60",-2003.34,-3762.75,-30.36,"$7,559.15"
TH-MEACUP-14,B0TH014KX,387,$21.33,"$8,254.71",-1238.21,-1683.45,-21.73,"$5,311.32"
TH-SALCEL-15,B0TH015KX,382,$17.50,"$6,685.00",-1002.75,-1661.70,-13.41,"$4,007.14"
TH-PEPMIL-16,B0TH016KX,198,$33.98,"$6,728.04",-1009.21,-861.30,-8.34,"$4,849.19"
TH-FREPRE-17,B0TH017KX,439,$30.89,"$13,560.71",-2034.11,-1909.65,-67.80,"$9,549.15"
TH-POUOVE-18,B0TH018KX,242,$44.28,"$10,715.76",-1607.36,-1052.70,-40.77,"$8,014.93"
TH-COFCAN-19,B0TH019KX,398,$22.99,"$9,150.02",-1372.50,-1731.30,-27.94,"$6,018.28"
TH-TEAINF-20,B0TH020KX,357,$18.53,"$6,615.21",-992.28,-1552.95,-20.05,"$4,049.93"
TH-APRWAX-21,B0TH021KX,175,$41.19,"$7,208.25",-1081.24,-761.25,-8.60,"$5,357.16"
TH-OVEMIT-22,B0TH022KX,385,$19.99,"$7,696.15",-1154.42,-1674.75,-16.22,"$4,850.76"
TH-TRICOR-23,B0TH023KX,567,$12.60,"$7,144.20",-1071.63,-2466.45,-15.92,"$3,590.20"
TH-KITTOW-24,B0TH024KX,347,$24.99,"$8,671.53",-1300.73,-1509.45,-12.18,"$5,849.17"
