MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,697,$37.09,"$25,851.73",-3877.76,-4948.70,-200.61,"$16,824.66"
TH-CASIRO-02,B0TH002KX,514,$43.19,"$22,199.66",-3329.95,-3649.40,-198.46,"$15,021.85"
TH-ENADUT-03,B0TH003KX,276,$76.79,"$21,194.04",-3179.11,-1959.60,-178.25,"$15,877.08"
TH-CARSTE-04,B0TH004KX,364,$51.49,"$18,742.36",-2811.35,-2584.40,-158.43,"$13,188.18"
TH-BAMCUT-05,B0TH005KX,726,$27.15,"$19,710.90",-2956.64,-3158.10,-142.70,"$13,453.46"
TH-BAMCUT-06,B0TH006KX,716,$21.19,"$15,172.04",-2275.81,-3114.60,-90.47,"$9,691.16"
TH-WALSER-07,B0TH007KX,188,$37.82,"$7,110.16",-1066.52,-817.80,-39.59,"$5,186.25"
TH-CHEKNI-08,B0TH008KX,592,$58.19,"$34,448.48",-5167.27,-2575.20,-37.40,"$26,668.61"
TH-PARKNI-09,B0TH009KX,651,$18.42,"$11,991.42",-1798.71,-2831.85,-18.28,"$7,342.58"
TH-BREKNI-10,B0TH010KX,314,$28.79,"$9,040.06",-1356.01,-1365.90,-15.43,"$6,302.72"
TH-KNISHA-11,B0TH011KX,387,$24.99,"$9,671.13",-1450.67,-1683.45,-16.30,"$6,520.71"
TH-STAMIX-12,B0TH012KX,339,$38.10,"$12,915.90",-1937.38,-2406.90,-166.58,"$8,405.04"
TH-SILSPA-13,B0TH013KX,879,$15.44,"$13,571.76",-2035.76,-3823.65,-30.85,"$7,681.50"
TH-MEACUP-14,B0TH014KX,439,$21.33,"$9,363.87",-1404.58,-1909.65,-24.65,"$6,024.99"
TH-SALCEL-15,B0TH015KX,353,$17.50,"$6,177.50",-926.62,-1535.55,-12.39,"$3,702.94"
TH-PEPMIL-16,B0TH016KX,276,$33.98,"$9,378.48",-1406.77,-1200.60,-11.63,"$6,759.48"
TH-FREPRE-17,B0TH017KX,394,$30.89,"$12,170.66",-1825.60,-1713.90,-60.85,"$8,570.31"
TH-POUOVE-18,B0TH018KX,256,$44.28,"$11,335.68",-1700.35,-1113.60,-43.13,"$8,478.60"
TH-COFCAN-19,B0TH019KX,534,$22.99,"$12,276.66",-1841.50,-2322.90,-37.49,"$8,074.77"
TH-TEAINF-20,B0TH020KX,373,$18.53,"$6,911.69",-1036.75,-1622.55,-20.95,"$4,231.44"
TH-APRWAX-21,B0TH021KX,181,$41.19,"$7,455.39",-1118.31,-787.35,-8.89,"$5,540.84"
TH-OVEMIT-22,B0TH022KX,610,$19.19,"$11,705.90",-1755.88,-2653.50,-25.69,"$7,270.83"
TH-TRICOR-23,B0TH023KX,817,$12.60,"$10,294.20",-1544.13,-3553.95,-22.94,"$5,173.18"
TH-KITTOW-24,B0TH024KX,388,$25.99,"$10,084.12",-1512.62,-1687.80,-13.62,"$6,870.08"
