MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,688,$32.19,"$22,146.72",-3322.01,-4884.80,-198.02,"$13,741.89"
TH-CASIRO-02,B0TH002KX,538,$42.74,"$22,994.12",-3449.12,-3819.80,-207.72,"$15,517.48"
TH-ENADUT-03,B0TH003KX,283,$76.79,"$21,731.57",-3259.74,-2009.30,-182.77,"$16,279.76"
TH-CARSTE-04,B0TH004KX,347,$51.49,"$17,867.03",-2680.05,-2463.70,-151.03,"$12,572.25"
TH-BAMCUT-05,B0TH005KX,696,$25.75,"$17,922.00",-2688.30,-3027.60,-136.81,"$12,069.29"
TH-BAMCUT-06,B0TH006KX,716,$21.19,"$15,172.04",-2275.81,-3114.60,-90.47,"$9,691.16"
TH-WALSER-07,B0TH007KX,217,$37.82,"$8,206.94",-1231.04,-943.95,-45.70,"$5,986.25"
TH-CHEKNI-08,B0TH008KX,397,$62.99,"$25,007.03",-3751.05,-1726.95,-25.08,"$19,503.95"
TH-PARKNI-09,B0TH009KX,707,$18.42,"$13,022.94",-1953.44,-3075.45,-19.85,"$7,974.20"
TH-BREKNI-10,B0TH010KX,303,$28.79,"$8,723.37",-1308.51,-1318.05,-14.89,"$6,081.92"
TH-KNISHA-11,B0TH011KX,394,$27.49,"$10,831.06",-1624.66,-1713.90,-16.60,"$7,475.90"
TH-STAMIX-12,B0TH012KX,395,$39.21,"$15,487.95",-2323.19,-2804.50,-194.10,"$10,166.16"
TH-SILSPA-13,B0TH013KX,835,$15.89,"$13,268.15",-1990.22,-3632.25,-29.31,"$7,616.37"
TH-MEACUP-14,B0TH014KX,643,$23.31,"$14,988.33",-2248.25,-2797.05,-36.11,"$9,906.92"
TH-SALCEL-15,B0TH015KX,313,$17.50,"$5,477.50",-821.62,-1361.55,-10.99,"$3,283.34"
TH-PEPMIL-16,B0TH016KX,291,$34.97,"$10,176.27",-1526.44,-1265.85,-12.26,"$7,371.72"
TH-FREPRE-17,B0TH017KX,484,$30.89,"$14,950.76",-2242.61,-2105.40,-74.75,"$10,528.00"
TH-POUOVE-18,B0TH018KX,243,$41.27,"$10,028.61",-1504.29,-1057.05,-40.94,"$7,426.33"
TH-COFCAN-19,B0TH019KX,436,$24.37,"$10,625.32",-1593.80,-1896.60,-30.61,"$7,104.31"
TH-TEAINF-20,B0TH020KX,358,$18.53,"$6,633.74",-995.06,-1557.30,-20.11,"$4,061.27"
TH-APRWAX-21,B0TH021KX,244,$41.59,"$10,147.96",-1522.19,-1061.40,-11.99,"$7,552.38"
TH-OVEMIT-22,B0TH022KX,760,$18.99,"$14,432.40",-2164.86,-3306.00,-32.01,"$8,929.53"
TH-TRICOR-23,B0TH023KX,734,$12.47,"$9,152.98",-1372.95,-3192.90,-20.61,"$4,566.52"
TH-KITTOW-24,B0TH024KX,285,$25.99,"$7,407.15",-1111.07,-1239.75,-10.00,"$5,046.33"
