MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,462,$34.99,"$16,165.38",-2424.81,-3280.20,-132.97,"$10,327.40"
TH-CASIRO-02,B0TH002KX,322,$44.99,"$14,486.78",-2173.02,-2286.20,-124.32,"$9,903.24"
TH-ENADUT-03,B0TH003KX,235,$79.99,"$18,797.65",-2819.65,-1668.50,-151.77,"$14,157.73"
TH-CARSTE-04,B0TH004KX,220,$49.99,"$10,997.80",-1649.67,-1562.00,-95.75,"$7,690.38"
TH-BAMCUT-05,B0TH005KX,385,$27.99,"$10,776.15",-1616.42,-1674.75,-75.68,"$7,409.30"
TH-BAMCUT-06,B0TH006KX,404,$19.99,"$8,075.96",-1211.39,-1757.40,-51.05,"$5,056.12"
TH-WALSER-07,B0TH007KX,161,$38.99,"$6,277.39",-941.61,-700.35,-33.91,"$4,601.52"
TH-CHEKNI-08,B0TH008KX,332,$59.99,"$19,916.68",-2987.50,-1444.20,-20.98,"$15,464.00"
TH-PARKNI-09,B0TH009KX,466,$18.99,"$8,849.34",-1327.40,-2027.10,-13.09,"$5,481.75"
TH-BREKNI-10,B0TH010KX,254,$29.99,"$7,617.46",-1142.62,-1104.90,-12.48,"$5,357.46"
TH-KNISHA-11,B0TH011KX,260,$24.99,"$6,497.40",-974.61,-1131.00,-10.95,"$4,380.84"
TH-STAMIX-12,B0TH012KX,263,$36.99,"$9,728.37",-1459.26,-1867.30,-129.24,"$6,272.57"
TH-SILSPA-13,B0TH013KX,676,$14.99,"$10,133.24",-1519.99,-2940.60,-23.73,"$5,648.92"
TH-MEACUP-14,B0TH014KX,259,$21.99,"$5,695.41",-854.31,-1126.65,-14.55,"$3,699.90"
TH-SALCEL-15,B0TH015KX,305,$16.99,"$5,181.95",-777.29,-1326.75,-10.71,"$3,067.20"
TH-PEPMIL-16,B0TH016KX,200,$32.99,"$6,598.00",-989.70,-870.00,-8.42,"$4,729.88"
TH-FREPRE-17,B0TH017KX,230,$29.99,"$6,897.70",-1034.65,-1000.50,-35.52,"$4,827.03"
TH-POUOVE-18,B0TH018KX,213,$42.99,"$9,156.87",-1373.53,-926.55,-35.89,"$6,820.90"
TH-COFCAN-19,B0TH019KX,394,$22.99,"$9,058.06",-1358.71,-1713.90,-27.66,"$5,957.79"
TH-TEAINF-20,B0TH020KX,364,$17.99,"$6,548.36",-982.25,-1583.40,-20.44,"$3,962.27"
TH-APRWAX-21,B0TH021KX,155,$39.99,"$6,198.45",-929.77,-674.25,-7.62,"$4,586.81"
TH-OVEMIT-22,B0TH022KX,482,$19.99,"$9,635.18",-1445.28,-2096.70,-20.30,"$6,072.90"
TH-TRICOR-23,B0TH023KX,455,$12.99,"$5,910.45",-886.57,-1979.25,-12.78,"$3,031.85"
TH-KITTOW-24,B0TH024KX,331,$24.99,"$8,271.69",-1240.75,-1439.85,-11.62,"$5,579.47"
