(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"5,994","9,590",97.9%,684,"US$23,933.16",657,11.41%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"2,678","4,285",96.3%,330,"US$14,846.70",317,12.32%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"2,289","3,662",95.6%,222,"US$17,757.78",213,9.70%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"2,539","4,062",92.3%,329,"US$16,446.71",316,12.96%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"3,637","5,819",95.7%,459,"US$11,819.25",441,12.62%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"5,211","8,338",90.6%,542,"US$11,484.98",520,10.40%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"1,818","2,909",94.3%,166,"US$6,860.78",159,9.13%
B0TH002PR,B0TH008KX,Chef Knife 8in,"4,064","6,502",91.6%,494,"US$29,635.06",474,12.15%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"4,336","6,938",95.7%,501,"US$9,133.23",481,11.55%
B0TH003PR,B0TH010KX,Bread Knife 10in,"1,963","3,141",98.7%,250,"US$7,872.50",240,12.74%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"2,049","3,278",91.0%,288,"US$7,197.12",276,14.05%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"1,742","2,787",92.4%,259,"US$9,580.41",249,14.87%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"5,357","8,571",94.2%,728,"US$11,567.92",699,13.59%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"3,831","6,130",88.6%,409,"US$8,993.91",393,10.68%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"2,456","3,930",89.3%,274,"US$4,841.58",263,11.16%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"1,556","2,490",98.6%,209,"US$6,894.91",201,13.43%
B0TH005PR,B0TH017KX,French Press 34oz,"2,837","4,539",94.9%,281,"US$8,848.69",270,9.91%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"1,582","2,531",92.1%,159,"US$7,382.37",153,10.05%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"2,613","4,181",93.9%,341,"US$8,310.17",327,13.05%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"2,063","3,301",92.6%,309,"US$6,115.11",297,14.98%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"1,111","1,778",94.3%,150,"US$6,598.50",144,13.50%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"4,270","6,832",92.7%,559,"US$10,615.41",537,13.09%
B0TH006PR,B0TH023KX,Trivet Cork Set,"4,219","6,750",93.7%,481,"US$6,748.43",462,11.40%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"2,747","4,395",96.0%,270,"US$7,017.30",259,9.83%
