(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"8,931","14,290",97.8%,747,"US$24,045.93",717,8.36%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"3,077","4,923",91.4%,438,"US$18,917.22",420,14.24%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"1,704","2,726",97.0%,272,"US$20,886.88",261,15.96%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"2,656","4,250",94.1%,357,"US$18,381.93",343,13.44%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"5,079","8,126",93.4%,562,"US$16,359.82",540,11.07%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"4,641","7,426",98.2%,570,"US$12,078.30",547,12.28%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"1,812","2,899",91.3%,215,"US$8,131.30",206,11.86%
B0TH002PR,B0TH008KX,Chef Knife 8in,"3,856","6,170",96.8%,507,"US$29,198.13",487,13.15%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"4,544","7,270",96.2%,582,"US$10,720.44",559,12.81%
B0TH003PR,B0TH010KX,Bread Knife 10in,"2,683","4,293",91.2%,294,"US$8,464.26",282,10.96%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"3,677","5,883",89.1%,359,"US$9,330.41",345,9.76%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"2,923","4,677",93.7%,350,"US$13,335.00",336,11.97%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"7,213","11,541",85.1%,766,"US$11,827.04",735,10.62%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"5,152","8,243",97.4%,464,"US$9,897.12",445,9.01%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"4,385","7,016",95.1%,446,"US$7,805.00",428,10.17%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"2,627","4,203",98.3%,229,"US$7,781.42",220,8.72%
B0TH005PR,B0TH017KX,French Press 34oz,"3,407","5,451",94.9%,382,"US$11,799.98",367,11.21%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"1,709","2,734",98.5%,276,"US$11,390.52",265,16.15%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"4,730","7,568",92.2%,515,"US$11,839.85",494,10.89%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"2,894","4,630",95.5%,314,"US$5,818.42",301,10.85%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"1,488","2,381",92.8%,168,"US$6,987.12",161,11.29%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"4,087","6,539",93.7%,590,"US$11,322.10",566,14.43%
B0TH006PR,B0TH023KX,Trivet Cork Set,"4,342","6,947",94.3%,699,"US$8,716.53",671,16.10%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"2,064","3,302",95.1%,311,"US$8,082.89",299,15.07%
