(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"3,773","6,037",95.8%,483,"US$15,547.77",464,12.80%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"2,072","3,315",98.3%,302,"US$13,586.98",290,14.57%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"1,721","2,754",95.1%,185,"US$15,538.15",178,10.75%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"1,561","2,498",94.1%,160,"US$8,638.40",154,10.25%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"6,359","10,174",98.9%,655,"US$16,866.25",629,10.30%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"4,637","7,419",93.3%,567,"US$12,014.73",544,12.23%
B0TH002PR,B0TH007KX,Walnut Serving Tray,799,"1,278",87.5%,111,"US$4,587.63",107,13.89%
B0TH002PR,B0TH008KX,Chef Knife 8in,"3,774","6,038",96.4%,282,"US$16,917.18",271,7.47%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"5,137","8,219",94.8%,597,"US$10,883.31",573,11.62%
B0TH003PR,B0TH010KX,Bread Knife 10in,"2,181","3,490",93.9%,193,"US$5,556.47",185,8.85%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"2,128","3,405",96.5%,330,"US$8,246.70",317,15.51%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"1,926","3,082",92.7%,228,"US$9,108.60",219,11.84%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"5,126","8,202",87.6%,549,"US$8,723.61",527,10.71%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"2,680","4,288",96.5%,322,"US$7,647.50",309,12.02%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"3,246","5,194",92.0%,271,"US$4,742.50",260,8.35%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"1,786","2,858",91.1%,164,"US$5,680.96",157,9.19%
B0TH005PR,B0TH017KX,French Press 34oz,"1,758","2,813",87.7%,204,"US$6,362.76",196,11.61%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"1,163","1,861",96.3%,148,"US$6,107.96",142,12.73%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"2,210","3,536",86.6%,243,"US$5,921.91",233,11.00%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"2,367","3,787",97.7%,225,"US$4,452.75",216,9.51%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"2,950","4,720",93.0%,177,"US$7,361.43",170,6.00%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"5,503","8,805",96.4%,503,"US$9,551.97",483,9.14%
B0TH006PR,B0TH023KX,Trivet Cork Set,"4,936","7,898",95.2%,501,"US$6,247.47",481,10.15%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"2,090","3,344",99.0%,264,"US$6,861.36",253,12.63%
