MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,747,$32.19,"$24,045.93",-3606.89,-5303.70,-215.00,"$14,920.34"
TH-CASIRO-02,B0TH002KX,438,$43.19,"$18,917.22",-2837.58,-3109.80,-169.11,"$12,800.73"
TH-ENADUT-03,B0TH003KX,272,$76.79,"$20,886.88",-3133.03,-1931.20,-175.67,"$15,646.98"
TH-CARSTE-04,B0TH004KX,357,$51.49,"$18,381.93",-2757.29,-2534.70,-155.38,"$12,934.56"
TH-BAMCUT-05,B0TH005KX,562,$29.11,"$16,359.82",-2453.97,-2444.70,-110.47,"$11,350.68"
TH-BAMCUT-06,B0TH006KX,570,$21.19,"$12,078.30",-1811.74,-2479.50,-72.03,"$7,715.03"
TH-WALSER-07,B0TH007KX,215,$37.82,"$8,131.30",-1219.70,-935.25,-45.28,"$5,931.07"
TH-CHEKNI-08,B0TH008KX,507,$57.59,"$29,198.13",-4379.72,-2205.45,-32.03,"$22,580.93"
TH-PARKNI-09,B0TH009KX,582,$18.42,"$10,720.44",-1608.07,-2531.70,-16.34,"$6,564.33"
TH-BREKNI-10,B0TH010KX,294,$28.79,"$8,464.26",-1269.64,-1278.90,-14.45,"$5,901.27"
TH-KNISHA-11,B0TH011KX,359,$25.99,"$9,330.41",-1399.56,-1561.65,-15.12,"$6,354.08"
TH-STAMIX-12,B0TH012KX,350,$38.10,"$13,335.00",-2000.25,-2485.00,-171.99,"$8,677.76"
TH-SILSPA-13,B0TH013KX,766,$15.44,"$11,827.04",-1774.06,-3332.10,-26.89,"$6,693.99"
TH-MEACUP-14,B0TH014KX,464,$21.33,"$9,897.12",-1484.57,-2018.40,-26.06,"$6,368.09"
TH-SALCEL-15,B0TH015KX,446,$17.50,"$7,805.00",-1170.75,-1940.10,-15.65,"$4,678.50"
TH-PEPMIL-16,B0TH016KX,229,$33.98,"$7,781.42",-1167.21,-996.15,-9.65,"$5,608.41"
TH-FREPRE-17,B0TH017KX,382,$30.89,"$11,799.98",-1770.00,-1661.70,-59.00,"$8,309.28"
TH-POUOVE-18,B0TH018KX,276,$41.27,"$11,390.52",-1708.58,-1200.60,-46.50,"$8,434.84"
TH-COFCAN-19,B0TH019KX,515,$22.99,"$11,839.85",-1775.98,-2240.25,-36.15,"$7,787.47"
TH-TEAINF-20,B0TH020KX,314,$18.53,"$5,818.42",-872.76,-1365.90,-17.63,"$3,562.13"
TH-APRWAX-21,B0TH021KX,168,$41.59,"$6,987.12",-1048.07,-730.80,-8.26,"$5,199.99"
TH-OVEMIT-22,B0TH022KX,590,$19.19,"$11,322.10",-1698.32,-2566.50,-24.85,"$7,032.43"
TH-TRICOR-23,B0TH023KX,699,$12.47,"$8,716.53",-1307.48,-3040.65,-19.63,"$4,348.77"
TH-KITTOW-24,B0TH024KX,311,$25.99,"$8,082.89",-1212.43,-1352.85,-10.92,"$5,506.69"
