MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,678,$34.99,"$23,723.22",-3558.48,-4813.80,-600.44,"$14,750.50"
TH-CASIRO-02,B0TH002KX,471,$44.99,"$21,190.29",-3178.54,-3344.10,-559.55,"$14,108.10"
TH-ENADUT-03,B0TH003KX,283,$79.99,"$22,637.17",-3395.58,-2009.30,-562.38,"$16,669.91"
TH-CARSTE-04,B0TH004KX,460,$49.99,"$22,995.40",-3449.31,-3266.00,-616.03,"$15,664.06"
TH-BAMCUT-05,B0TH005KX,759,$25.75,"$19,544.25",-2931.64,-3301.65,-459.04,"$12,851.92"
TH-BAMCUT-06,B0TH006KX,970,$18.39,"$17,838.30",-2675.74,-4219.50,-377.14,"$10,565.92"
TH-WALSER-07,B0TH007KX,200,$38.99,"$7,798.00",-1169.70,-870.00,-129.60,"$5,628.70"
TH-CHEKNI-08,B0TH008KX,677,$59.99,"$40,613.23",-6091.98,-2944.95,-131.61,"$31,444.69"
TH-PARKNI-09,B0TH009KX,740,$19.94,"$14,755.60",-2213.34,-3219.00,-63.94,"$9,259.32"
TH-BREKNI-10,B0TH010KX,369,$29.99,"$11,066.31",-1659.95,-1605.15,-55.79,"$7,745.42"
TH-KNISHA-11,B0TH011KX,402,$24.99,"$10,045.98",-1506.90,-1748.70,-52.10,"$6,738.28"
TH-STAMIX-12,B0TH012KX,296,$36.99,"$10,949.04",-1642.36,-2101.60,-447.55,"$6,757.53"
TH-SILSPA-13,B0TH013KX,968,$14.24,"$13,784.32",-2067.65,-4210.80,-104.54,"$7,401.33"
TH-MEACUP-14,B0TH014KX,494,$21.99,"$10,863.06",-1629.46,-2148.90,-85.36,"$6,999.34"
TH-SALCEL-15,B0TH015KX,392,$17.84,"$6,993.28",-1048.99,-1705.20,-42.34,"$4,196.75"
TH-PEPMIL-16,B0TH016KX,373,$32.99,"$12,305.27",-1845.79,-1622.55,-48.34,"$8,788.59"
TH-FREPRE-17,B0TH017KX,354,$31.49,"$11,147.46",-1672.12,-1539.90,-168.22,"$7,767.22"
TH-POUOVE-18,B0TH018KX,321,$42.99,"$13,799.79",-2069.97,-1396.35,-166.41,"$10,167.06"
TH-COFCAN-19,B0TH019KX,417,$25.29,"$10,545.93",-1581.89,-1813.95,-90.07,"$7,060.02"
TH-TEAINF-20,B0TH020KX,630,$17.99,"$11,333.70",-1700.06,-2740.50,-108.86,"$6,784.28"
TH-APRWAX-21,B0TH021KX,276,$39.99,"$11,037.24",-1655.59,-1200.60,-41.73,"$8,139.32"
TH-OVEMIT-22,B0TH022KX,621,$18.99,"$11,792.79",-1768.92,-2701.35,-80.48,"$7,242.04"
TH-TRICOR-23,B0TH023KX,616,$12.99,"$8,001.84",-1200.28,-2679.60,-53.22,"$4,068.74"
TH-KITTOW-24,B0TH024KX,418,$24.99,"$10,445.82",-1566.87,-1818.30,-45.14,"$7,015.51"
