(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"6,406","10,250",95.1%,688,"US$22,146.72",660,10.74%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"5,819","9,310",98.0%,538,"US$22,994.12",516,9.25%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"2,023","3,237",96.9%,283,"US$21,731.57",272,13.99%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"4,097","6,555",96.5%,347,"US$17,867.03",333,8.47%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"5,654","9,046",89.2%,696,"US$17,922.00",668,12.31%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"6,253","10,005",95.1%,716,"US$15,172.04",687,11.45%
B0TH002PR,B0TH007KX,Walnut Serving Tray,"1,721","2,754",94.5%,217,"US$8,206.94",208,12.61%
B0TH002PR,B0TH008KX,Chef Knife 8in,"3,286","5,258",98.4%,397,"US$25,007.03",381,12.08%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"5,067","8,107",85.4%,707,"US$13,022.94",679,13.95%
B0TH003PR,B0TH010KX,Bread Knife 10in,"2,789","4,462",93.5%,303,"US$8,723.37",291,10.87%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"4,928","7,885",94.3%,394,"US$10,831.06",378,8.00%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"2,822","4,515",90.7%,395,"US$15,487.95",379,14.00%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"6,860","10,976",91.3%,835,"US$13,268.15",802,12.17%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"6,331","10,130",98.4%,643,"US$14,988.33",617,10.16%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"3,005","4,808",95.4%,313,"US$5,477.50",300,10.41%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"3,751","6,002",99.0%,291,"US$10,176.27",279,7.76%
B0TH005PR,B0TH017KX,French Press 34oz,"3,809","6,094",93.5%,484,"US$14,950.76",465,12.71%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"1,921","3,074",89.8%,243,"US$10,028.61",233,12.65%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"3,145","5,032",93.0%,436,"US$10,625.32",419,13.87%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"3,228","5,165",92.5%,358,"US$6,633.74",344,11.09%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"2,360","3,776",96.1%,244,"US$10,147.96",234,10.34%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"6,327","10,123",96.0%,760,"US$14,432.40",730,12.01%
B0TH006PR,B0TH023KX,Trivet Cork Set,"6,392","10,227",95.5%,734,"US$9,152.98",705,11.48%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"2,673","4,277",99.0%,285,"US$7,407.15",274,10.66%
