Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Spend,7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#)
Skillets - Exact,Core,cast,EXACT,cast iron skillet 10in,"12,672",352,$281.61,$979.24,27,28
Skillets - Exact,Core,cast,EXACT,cast iron skillet 12in,"13,905",386,$309.00,$917.17,19,20
Skillets - Exact,Core,enamel,EXACT,enamel dutch oven 5qt,"11,335",314,$251.89,"$1,016.52",13,13
Skillets - Exact,Core,carbon,EXACT,carbon steel wok,"15,175",421,$337.22,"$1,367.03",26,27
Skillets - Exact,Core,cast,EXACT,cast iron skillet 10in,"12,138",337,$269.73,$847.52,23,24
Skillets - Exact,Core,cast,EXACT,cast iron skillet 12in,"11,818",328,$262.62,"$1,277.22",27,28
Skillets - Exact,Core,knife,BROAD,knife sharpening near me,"7,641",181,$127.35,$0.00,0,0
Skillets - Exact,Core,walmart,BROAD,walmart cutting board,"10,567",251,$176.12,$0.00,0,0
Skillets - Broad,Core,cast,BROAD,cast iron skillet 10in,"7,981",221,$177.35,$605.75,16,16
Skillets - Broad,Core,cast,BROAD,cast iron skillet 12in,"11,881",330,$264.03,$699.86,15,15
Skillets - Broad,Core,enamel,BROAD,enamel dutch oven 5qt,"9,835",273,$218.56,$725.55,9,9
Skillets - Broad,Core,carbon,BROAD,carbon steel wok,"13,059",362,$290.20,"$1,224.61",23,24
Skillets - Broad,Core,cast,BROAD,cast iron skillet 10in,"5,028",139,$111.73,$508.44,14,14
Skillets - Broad,Core,cast,BROAD,cast iron skillet 12in,"10,732",298,$238.48,$899.24,19,20
Skillets - Broad,Core,cheap,BROAD,cheap knives set,"3,016",71,$50.26,$0.00,0,0
Skillets - Broad,Core,coffee,BROAD,coffee shop wholesale,"5,646",134,$94.10,$0.00,0,0
Knives - Exact,Core,chef,EXACT,chef knife 8in,"10,389",288,$230.87,"$1,064.88",18,19
Knives - Exact,Core,paring,EXACT,paring knife 3.5in,"8,615",239,$191.45,$762.93,41,43
